Data,Unidade,ETE,Tipo,pH,DQO,DQOFiltrada,SST,CT,EColi,Meta,year,month,month_and_year,timestamp,ecoli_proportion,satisfy_ph,satisfy_ecoli,satisfy_dqo,satisfy_filtered_dqo,satisfy_le,satisfy_general,level,DQOf,geral_pc1,geral_pc2,geral_pc3,principal component 1,principal component 2,principal component 3
2021-02-01 00:00:00+00:00,BME,buriti,UASB,6.7,100.67,,27.4,10.0,10.0,S,2021,2,202102,1612137600000000000,1.0,1,1,1,0,1,1,4,,-0.6729072598133975,-0.055485006805046325,-1.5286251368422212,-0.6729072598133975,-0.055485006805046325,-1.5286251368422212
2021-02-01 00:00:00+00:00,BME,aratuba,UASB,6.9,336.6,,156.0,120.0,10.0,N,2021,2,202102,1612137600000000000,0.08333333333333333,1,1,0,0,0,0,2,,0.030229247506370828,0.4990193435075638,-1.0607248295514642,0.030229247506370828,0.4990193435075638,-1.0607248295514642
2021-02-01 00:00:00+00:00,BME,redencao (prourb),UASB,6.9,322.15,,178.0,31.0,10.0,N,2021,2,202102,1612137600000000000,0.3225806451612903,1,1,0,0,0,0,2,,0.08004478061863039,0.5213491915476828,-1.0627887230556257,0.08004478061863039,0.5213491915476828,-1.0627887230556257
2021-02-01 00:00:00+00:00,BME,pacatuba,LE,8.5,261.97,91.04,108.3,240000.0,73.0,S,2021,2,202102,1612137600000000000,0.00030416666666666667,1,1,0,1,1,1,4,91.04,0.12795463966492554,0.2712083834244372,1.0226793356983879,0.12795463966492554,0.2712083834244372,1.0226793356983879
2021-02-01 00:00:00+00:00,BME,itaitinga (prourb),UASB,7.0,1376.27,,860.0,1200.0,10.0,N,2021,2,202102,1612137600000000000,0.008333333333333333,1,1,0,0,0,0,2,,3.638853641999987,3.2860802160931684,-0.07469249444852835,3.638853641999987,3.2860802160931684,-0.07469249444852835
2021-02-01 00:00:00+00:00,MTE,guadalajara,LE,7.8,211.42,122.34,11.0,240000.0,39000.0,N,2021,2,202102,1612137600000000000,0.1625,1,0,0,1,1,0,3,122.34,0.41483918998800795,0.26627139750895046,-0.21534169911259216,0.41483918998800795,0.26627139750895046,-0.21534169911259216
2021-02-01 00:00:00+00:00,MTE,conj. nova metropole,LE,7.5,424.51,81.8,132.5,930000.0,330000.0,N,2021,2,202102,1612137600000000000,0.3548387096774194,1,0,0,1,1,0,3,81.8,0.4579074819425372,0.43315376640889436,-0.24564120664033448,0.4579074819425372,0.43315376640889436,-0.24564120664033448
2021-02-01 00:00:00+00:00,MTE,pq. potira ii,UASB,7.0,608.63,,240.0,3300.0,200.0,N,2021,2,202102,1612137600000000000,0.06060606060606061,1,1,0,0,0,0,2,,0.6517164436953642,1.0274403473712843,-0.7275253381707044,0.6517164436953642,1.0274403473712843,-0.7275253381707044
2021-02-01 00:00:00+00:00,MTE,castelao (boa vista),UASB,7.0,146.41,,125.0,10.0,10.0,N,2021,2,202102,1612137600000000000,1.0,1,1,1,0,0,0,3,,-0.33365487634130936,0.16543954087053583,-1.0422056362731151,-0.33365487634130936,0.16543954087053583,-1.0422056362731151
2021-02-01 00:00:00+00:00,MTE,centro de eventos,UASB,7.5,119.93,,20.0,24000.0,170.0,S,2021,2,202102,1612137600000000000,0.007083333333333333,1,1,1,0,1,1,4,,-0.7480456246589798,-0.1271504377733982,-0.3747087824544663,-0.7480456246589798,-0.1271504377733982,-0.3747087824544663
2021-02-01 00:00:00+00:00,MTE,dif iii,LE,7.4,321.46,86.6,105.0,1700000.0,10000.0,N,2021,2,202102,1612137600000000000,0.0058823529411764705,1,0,0,1,1,0,3,86.6,0.3268306637287343,0.2502481746616035,-0.4754227382825185,0.3268306637287343,0.2502481746616035,-0.4754227382825185
2021-02-01 00:00:00+00:00,MTE,s. miguel,UASB,7.0,218.63,,230.0,2400.0,24000.0,N,2021,2,202102,1612137600000000000,10.0,1,0,0,0,0,0,1,,0.09894060787399837,0.46233919352786707,-0.9668038362259616,0.09894060787399837,0.46233919352786707,-0.9668038362259616
2021-02-01 00:00:00+00:00,MTE,aldemir martins,UASB/POS,6.8,194.56,,136.0,240000.0,24000.0,N,2021,2,202102,1612137600000000000,0.1,1,0,1,0,0,0,2,,-0.19327228758263199,0.23902344659422053,-1.2934881274742847,-0.19327228758263199,0.23902344659422053,-1.2934881274742847
2021-02-01 00:00:00+00:00,MTE,escritores,UASB/POS,7.1,388.56,,185.0,10.0,10.0,N,2021,2,202102,1612137600000000000,1.0,1,1,0,0,0,0,2,,0.17171737844970142,0.6066440841940185,-0.7344093457962364,0.17171737844970142,0.6066440841940185,-0.7344093457962364
2021-02-01 00:00:00+00:00,MTE,itaperi,UASB,7.2,1039.12,,440.0,960000.0,100000.0,N,2021,2,202102,1612137600000000000,0.10416666666666667,1,0,0,0,0,0,1,,1.9263228940163826,1.85020553702676,-0.11105967306395602,1.9263228940163826,1.85020553702676,-0.11105967306395602
2021-02-01 00:00:00+00:00,MTE,itaperussu,LA,7.5,170.49,,88.0,240000.0,24000.0,N,2021,2,202102,1612137600000000000,0.1,1,0,1,0,1,0,3,,-0.4464362158922343,0.042223635221683695,-0.32140720019882973,-0.4464362158922343,0.042223635221683695,-0.32140720019882973
2021-02-01 00:00:00+00:00,MTE,riacho doce,UASB,7.3,192.15,,91.2,240000.0,24000.0,N,2021,2,202102,1612137600000000000,0.1,1,0,1,0,1,0,3,,-0.38729966036474106,0.09870944060452105,-0.5933918434562979,-0.38729966036474106,0.09870944060452105,-0.5933918434562979
2021-02-01 00:00:00+00:00,MTE,novo mondubim ii,UASB,6.9,390.96,,49.0,10.0,10.0,N,2021,2,202102,1612137600000000000,1.0,1,1,0,0,1,0,3,,-0.23354611723309954,0.3684039994658678,-1.060326490252473,-0.23354611723309954,0.3684039994658678,-1.060326490252473
2021-02-01 00:00:00+00:00,MTE,novo barroso,UASB,7.0,389.12,,130.0,240000.0,24000.0,N,2021,2,202102,1612137600000000000,0.1,1,0,0,0,0,0,1,,0.030149972807954364,0.4770092215573992,-0.8915046386499,0.030149972807954364,0.4770092215573992,-0.8915046386499
2021-02-01 00:00:00+00:00,MTE,pajucara,UASB,7.0,187.34,,45.0,82000.0,7200.0,N,2021,2,202102,1612137600000000000,0.08780487804878048,1,0,1,0,1,0,3,,-0.5234938038230759,0.056545929790742695,-1.0409375428497978,-0.5234938038230759,0.056545929790742695,-1.0409375428497978
2021-02-01 00:00:00+00:00,MTE,paupina,UASB,7.0,623.08,,125.0,44000.0,630.0,N,2021,2,202102,1612137600000000000,0.014318181818181818,1,1,0,0,0,0,2,,0.311861264503027,0.8209600636858885,-0.7532841977433252,0.311861264503027,0.8209600636858885,-0.7532841977433252
2021-02-01 00:00:00+00:00,MTE,por do sol,UASB,7.2,436.5,,97.5,10.0,10.0,N,2021,2,202102,1612137600000000000,1.0,1,1,0,0,1,0,3,,-0.049216003907002474,0.49451415947263794,-0.5889403779707526,-0.049216003907002474,0.49451415947263794,-0.5889403779707526
2021-02-01 00:00:00+00:00,MTE,rosalina,UASB,6.9,420.86,,217.5,24000.0,1000.0,N,2021,2,202102,1612137600000000000,0.041666666666666664,1,1,0,0,0,0,2,,0.33932006419558475,0.7311367277969588,-0.9908132261201574,0.33932006419558475,0.7311367277969588,-0.9908132261201574
